,Unnamed: 0,Observation time,Surface flow velocity,Surface direction,Surface frankincense,Water temperature,Salinity
50609,50726,2020-07-08 11:45:00,48.6,남남서,192.0,21.22,30.41
50610,50727,2020-07-08 11:50:00,49.9,남남서,193.0,21.21,30.4
50611,50728,2020-07-08 11:55:00,48.4,남남서,192.0,21.24,30.42
50612,50729,2020-07-08 12:00:00,49.1,남남서,194.0,21.29,30.47
50613,50730,2020-07-08 12:05:00,48.1,남,191.0,21.3,30.4
50614,50731,2020-07-08 12:10:00,46.7,남남서,191.0,21.32,30.41
50615,50732,2020-07-08 12:15:00,43.4,남,189.0,21.34,30.42
50616,50733,2020-07-08 12:20:00,40.7,남,188.0,21.4,30.39
50617,50734,2020-07-08 12:25:00,39.7,남,187.0,21.34,30.37
50618,50735,2020-07-08 12:30:00,36.1,남,187.0,21.32,30.37
50619,50736,2020-07-08 12:35:00,33.1,남,188.0,21.37,30.46
50620,50737,2020-07-08 12:40:00,33.8,남,187.0,21.42,30.37
50621,50738,2020-07-08 12:45:00,31.0,남,184.0,21.41,30.35
50622,50739,2020-07-08 12:50:00,29.4,남,178.0,21.48,30.41
50623,50740,2020-07-08 12:55:00,27.9,남,177.0,21.52,30.34
50624,50741,2020-07-08 13:00:00,26.2,남,171.0,21.49,30.33
50625,50742,2020-07-08 13:05:00,24.8,남,170.0,21.49,30.37
50626,50743,2020-07-08 13:10:00,21.6,남남동,161.0,21.47,30.32
50627,50744,2020-07-08 13:15:00,20.3,남남동,151.0,21.46,30.32
50628,50745,2020-07-08 13:20:00,19.0,남동,139.0,21.44,30.31
50629,50746,2020-07-08 13:25:00,15.3,남동,130.0,21.41,30.31
50630,50747,2020-07-08 13:30:00,15.9,동남동,113.0,21.39,30.32
50631,50748,2020-07-08 13:35:00,15.1,동,100.0,21.34,30.34
50632,50749,2020-07-08 13:40:00,17.2,동,89.0,21.31,30.31
50633,50750,2020-07-08 13:45:00,19.7,동,85.0,21.28,30.33
50634,50751,2020-07-08 13:50:00,22.0,동북동,74.0,21.27,30.33
50635,50752,2020-07-08 13:55:00,24.2,동북동,69.0,21.26,30.36
50636,50753,2020-07-08 14:00:00,25.4,동북동,66.0,21.25,30.32
50637,50754,2020-07-08 14:05:00,25.8,동북동,63.0,21.25,30.32
50638,50755,2020-07-08 14:10:00,28.8,동북동,58.0,21.23,30.37
50639,50756,2020-07-08 14:15:00,30.9,북동,53.0,21.22,30.34
50640,50757,2020-07-08 14:20:00,33.6,북동,54.0,21.21,30.35
50641,50758,2020-07-08 14:25:00,32.6,북동,46.0,21.21,30.34
50642,50759,2020-07-08 14:30:00,33.3,북동,46.0,21.21,30.35
