,Unnamed: 0,Observation time,Surface flow velocity,Surface direction,Surface frankincense,Water temperature,Salinity
7487,8514,2020-06-26 09:30:00,37.6,동,101.0,21.2,31.95
7488,8515,2020-06-26 10:00:00,41.7,동,88.0,21.1,32.2
7489,8516,2020-06-26 10:30:00,38.8,동,88.0,21.1,32.14
7490,8517,2020-06-26 11:00:00,24.2,동,86.0,20.9,32.07
7491,8518,2020-06-26 11:30:00,18.9,동남동,111.0,21.0,32.01
7492,8519,2020-06-26 12:00:00,15.5,동남동,107.0,20.7,32.04
7493,8520,2020-06-26 12:30:00,2.6,동남동,114.0,21.1,32.0
7494,8521,2020-06-26 13:00:00,4.4,서북서,285.0,21.2,31.79
7495,8522,2020-06-26 13:30:00,9.6,남동,133.0,21.8,32.01
7496,8523,2020-06-26 14:00:00,9.7,남동,144.0,21.7,32.04
7497,8524,2020-06-26 14:30:00,6.2,남남서,201.0,21.8,32.05
7498,8525,2020-06-26 15:00:00,12.8,남,181.0,21.9,32.13
7499,8526,2020-06-26 15:30:00,13.7,남남동,153.0,21.7,32.07
7500,8527,2020-06-26 16:00:00,20.1,남동,127.0,21.7,32.22
7501,8528,2020-06-26 16:30:00,20.7,동남동,115.0,21.3,32.12
7502,8529,2020-06-26 17:00:00,33.4,동남동,109.0,21.2,31.97
7503,8530,2020-06-26 17:30:00,40.1,동남동,116.0,20.8,32.02
7504,8531,2020-06-26 18:00:00,37.0,동남동,103.0,20.6,31.94
7505,8532,2020-06-26 18:30:00,47.1,동남동,103.0,20.6,31.94
7506,8533,2020-06-26 19:00:00,49.3,동남동,111.0,21.0,31.92
7507,8534,2020-06-26 19:30:00,46.7,동남동,103.0,21.1,31.92
7508,8535,2020-06-26 20:00:00,63.4,동,96.0,21.1,31.95
7509,8536,2020-06-26 20:30:00,48.6,동남동,102.0,21.2,31.94
7510,8537,2020-06-26 21:00:00,35.6,동,95.0,21.0,31.99
7511,8538,2020-06-26 21:30:00,38.9,동북동,78.0,21.1,32.01
7512,8539,2020-06-26 22:00:00,29.3,북동,54.0,21.3,31.97
7513,8540,2020-06-26 22:30:00,17.3,북동,46.0,21.1,32.02
7514,8541,2020-06-26 23:00:00,12.8,북북서,348.0,21.2,31.87
7515,8542,2020-06-26 23:30:00,20.9,북북서,337.0,21.3,31.8
7516,8543,2020-06-27 00:00:00,29.4,북서,305.0,21.3,31.83
7517,8544,2020-06-27 00:30:00,25.2,북서,314.0,21.4,31.86
7518,8545,2020-06-27 01:00:00,46.9,북서,304.0,21.5,31.93
7519,8546,2020-06-27 01:30:00,32.9,북서,307.0,21.4,32.13
7520,8547,2020-06-27 02:00:00,33.0,서북서,293.0,21.3,32.37
7521,8548,2020-06-27 02:30:00,31.9,서북서,294.0,21.4,32.47
7522,8549,2020-06-27 03:00:00,30.8,서북서,289.0,21.5,32.54
7523,8550,2020-06-27 03:30:00,23.4,서북서,285.0,21.5,32.51
7524,8551,2020-06-27 04:00:00,14.4,서북서,283.0,21.5,32.46
7525,8552,2020-06-27 04:30:00,8.4,서북서,303.0,21.4,32.5
7526,8553,2020-06-27 05:00:00,6.3,북북동,20.0,21.4,32.55
7527,8554,2020-06-27 05:30:00,13.5,동,95.0,21.5,32.5
7528,8555,2020-06-27 06:00:00,10.3,동북동,72.0,21.5,32.58
7529,8556,2020-06-27 06:30:00,31.2,동북동,62.0,21.6,32.59
7530,8557,2020-06-27 07:00:00,37.8,동북동,78.0,21.6,32.68
7531,8558,2020-06-27 07:30:00,52.3,동,83.0,21.7,32.72
7532,8559,2020-06-27 08:00:00,51.5,동북동,71.0,21.9,32.79
7533,8560,2020-06-27 08:30:00,65.5,동,86.0,21.9,32.95
7534,8561,2020-06-27 09:00:00,63.3,동,83.0,21.8,32.99
7535,8562,2020-06-27 09:30:00,56.1,동,91.0,21.7,33.05
7536,8563,2020-06-27 10:00:00,43.2,동,91.0,21.7,33.01
7537,8564,2020-06-27 10:30:00,30.4,동,90.0,21.7,33.02
7538,8565,2020-06-27 11:00:00,26.6,동,81.0,21.7,33.03
7539,8566,2020-06-27 11:30:00,19.8,동,84.0,21.7,33.0
7540,8567,2020-06-27 12:00:00,12.7,동,90.0,21.7,33.04
7541,8568,2020-06-27 12:30:00,6.6,동북동,64.0,21.7,33.05
