,Unnamed: 0,Observation time,Surface flow velocity,Surface direction,Surface frankincense,Water temperature,Salinity
8531,8533,2020-07-04 13:30:00,107.9,북,349.0,22.88,20.64
8532,8534,2020-07-04 14:00:00,97.2,북,350.0,22.64,21.02
8533,8535,2020-07-04 14:30:00,102.1,북,352.0,22.6,21.19
8534,8536,2020-07-04 15:00:00,92.6,북,351.0,22.56,21.32
8535,8537,2020-07-04 15:30:00,98.8,북,351.0,22.54,21.41
8536,8538,2020-07-04 16:00:00,80.7,북,350.0,22.53,21.46
8537,8539,2020-07-04 16:30:00,47.3,북북서,348.0,22.52,21.48
8538,8540,2020-07-04 17:00:00,4.8,남남서,204.0,22.56,21.49
8539,8541,2020-07-04 17:30:00,48.7,남남동,166.0,22.7,21.46
8540,8542,2020-07-04 18:00:00,77.6,남,173.0,22.7,21.43
8541,8543,2020-07-04 18:30:00,111.9,남,178.0,22.73,21.32
8542,8544,2020-07-04 19:00:00,123.8,남,173.0,22.74,21.34
8543,8545,2020-07-04 19:30:00,112.3,남,173.0,22.79,21.26
8544,8546,2020-07-04 20:00:00,125.1,남,172.0,22.94,21.0
8545,8547,2020-07-04 20:30:00,117.0,남,173.0,23.1,20.59
8546,8548,2020-07-04 21:00:00,109.1,남,170.0,23.25,20.08
8547,8549,2020-07-04 21:30:00,98.6,남,169.0,23.37,19.55
8548,8550,2020-07-04 22:00:00,80.3,남남동,168.0,23.46,19.11
8549,8551,2020-07-04 22:30:00,46.5,남,170.0,23.57,18.74
8550,8552,2020-07-04 23:00:00,13.9,남,177.0,23.61,18.55
8551,8553,2020-07-04 23:30:00,17.7,북서,318.0,23.64,18.42
8552,8554,2020-07-05 00:00:00,44.1,북북서,341.0,23.63,18.31
8553,8555,2020-07-05 00:30:00,93.1,북북서,343.0,23.36,19.01
8554,8556,2020-07-05 01:00:00,117.8,북북서,349.0,23.27,19.48
8555,8557,2020-07-05 01:30:00,116.9,북,350.0,22.99,20.49
8556,8558,2020-07-05 02:00:00,109.8,북,350.0,22.82,20.89
8557,8559,2020-07-05 02:30:00,117.3,북,352.0,22.74,21.11
8558,8560,2020-07-05 03:00:00,132.7,북,350.0,22.7,21.34
8559,8561,2020-07-05 03:30:00,128.6,북,351.0,22.63,21.5
8560,8562,2020-07-05 04:00:00,124.5,북,352.0,22.5,21.64
8561,8563,2020-07-05 04:30:00,88.2,북,351.0,22.44,21.67
8562,8564,2020-07-05 05:00:00,66.7,북,353.0,22.41,21.69
8563,8565,2020-07-05 05:30:00,35.6,북북서,346.0,22.43,21.67
8564,8566,2020-07-05 06:00:00,9.0,서남서,239.0,22.46,21.66
8565,8567,2020-07-05 06:30:00,44.2,남,176.0,22.44,21.67
8566,8568,2020-07-05 07:00:00,105.3,남,182.0,22.59,21.52
8567,8569,2020-07-05 07:30:00,129.2,남,176.0,22.56,21.55
8568,8570,2020-07-05 08:00:00,124.5,남,180.0,22.62,21.46
8569,8571,2020-07-05 08:30:00,113.2,남,180.0,22.68,21.32
8570,8572,2020-07-05 09:00:00,110.9,남,172.0,22.75,21.12
8571,8573,2020-07-05 09:30:00,114.9,남,177.0,22.84,20.87
8572,8574,2020-07-05 10:00:00,104.6,남,174.0,22.93,20.57
8573,8575,2020-07-05 10:30:00,90.7,남,171.0,23.06,20.17
8574,8576,2020-07-05 11:00:00,75.3,남남동,168.0,23.17,19.78
8575,8577,2020-07-05 11:30:00,47.1,남,175.0,23.2,19.58
8576,8578,2020-07-05 12:00:00,19.1,남남서,206.0,23.27,19.39
8577,8579,2020-07-05 12:30:00,12.7,북,352.0,23.4,19.16
8578,8580,2020-07-05 13:00:00,52.0,북,350.0,23.42,19.19
8579,8581,2020-07-05 13:30:00,94.0,북북서,348.0,23.17,19.66
8580,8582,2020-07-05 14:00:00,104.0,북,350.0,23.15,19.81
8581,8583,2020-07-05 14:30:00,104.2,북,349.0,22.9,20.52
8582,8584,2020-07-05 15:00:00,101.0,북,351.0,22.78,20.76
8583,8585,2020-07-05 15:30:00,101.5,북,350.0,22.75,20.94
8584,8586,2020-07-05 16:00:00,111.3,북,352.0,22.74,21.14
8585,8587,2020-07-05 16:30:00,99.9,북,351.0,22.74,21.21
8586,8588,2020-07-05 17:00:00,72.9,북,352.0,22.7,21.33
8587,8589,2020-07-05 17:30:00,24.0,북북서,349.0,22.73,21.41
8588,8590,2020-07-05 18:00:00,19.4,남남동,154.0,22.9,21.38
8589,8591,2020-07-05 18:30:00,60.4,남,175.0,22.94,21.35
8590,8592,2020-07-05 19:00:00,98.7,남,177.0,22.91,21.24
8591,8593,2020-07-05 19:30:00,125.5,남,178.0,22.89,21.18
8592,8594,2020-07-05 20:00:00,117.9,남,173.0,22.91,21.21
8593,8595,2020-07-05 20:30:00,117.7,남,170.0,23.0,21.02
8594,8596,2020-07-05 21:00:00,122.9,남,171.0,23.17,20.65
8595,8597,2020-07-05 21:30:00,107.7,남,174.0,23.28,20.27
8596,8598,2020-07-05 22:00:00,107.1,남,172.0,23.42,19.79
8597,8599,2020-07-05 22:30:00,95.3,남,170.0,23.55,19.24
8598,8600,2020-07-05 23:00:00,68.8,남남동,169.0,23.67,18.8
8599,8601,2020-07-05 23:30:00,30.8,남,172.0,23.75,18.54
8600,8602,2020-07-06 00:00:00,6.4,서,266.0,23.84,18.22
8601,8603,2020-07-06 00:30:00,41.3,북,353.0,23.77,18.23
8602,8604,2020-07-06 01:00:00,91.3,북북서,344.0,23.63,18.53
8603,8605,2020-07-06 01:30:00,110.6,북북서,348.0,23.42,19.26
8604,8606,2020-07-06 02:00:00,119.4,북,349.0,23.2,20.15
8605,8607,2020-07-06 02:30:00,115.0,북,350.0,23.04,20.71
8606,8608,2020-07-06 03:00:00,123.0,북,351.0,22.93,21.05
8607,8609,2020-07-06 03:30:00,134.0,북,351.0,22.87,21.27
8608,8610,2020-07-06 04:00:00,131.0,북,353.0,22.84,21.41
8609,8611,2020-07-06 04:30:00,139.9,북,353.0,22.74,21.59
8610,8612,2020-07-06 05:00:00,114.2,북,353.0,22.67,21.62
8611,8613,2020-07-06 05:30:00,83.4,북,353.0,22.62,21.62
8612,8614,2020-07-06 06:00:00,55.4,북,350.0,22.63,21.6
8613,8615,2020-07-06 06:30:00,12.1,북,350.0,22.63,21.63
8614,8616,2020-07-06 07:00:00,31.6,남,187.0,22.65,21.59
8615,8617,2020-07-06 07:30:00,80.8,남,179.0,22.83,21.52
8616,8618,2020-07-06 08:00:00,119.3,남,180.0,22.82,21.35
8617,8619,2020-07-06 08:30:00,119.5,남,179.0,22.81,21.4
8618,8620,2020-07-06 09:00:00,118.6,남,173.0,22.87,21.29
8619,8621,2020-07-06 09:30:00,120.6,남,174.0,22.95,21.14
8620,8622,2020-07-06 10:00:00,113.4,남,169.0,23.04,20.86
8621,8623,2020-07-06 10:30:00,113.0,남,175.0,23.13,20.69
8622,8624,2020-07-06 11:00:00,105.3,남,173.0,23.25,20.41
8623,8625,2020-07-06 11:30:00,77.5,남,170.0,23.37,20.06
8624,8626,2020-07-06 12:00:00,61.9,남,170.0,23.45,19.79
8625,8627,2020-07-06 12:30:00,34.0,남,182.0,23.51,19.57
8626,8628,2020-07-06 13:00:00,10.7,남서,232.0,23.74,19.23
8627,8629,2020-07-06 13:30:00,33.1,북,356.0,23.7,19.21
8628,8630,2020-07-06 14:00:00,82.9,북북서,345.0,23.65,19.38
8629,8631,2020-07-06 14:30:00,104.1,북북서,349.0,23.55,20.0
8630,8632,2020-07-06 15:00:00,110.1,북,352.0,23.29,20.36
8631,8633,2020-07-06 15:30:00,103.7,북,352.0,23.05,20.79
8632,8634,2020-07-06 16:00:00,105.4,북,352.0,22.97,20.98
8633,8635,2020-07-06 16:30:00,103.1,북,351.0,22.95,21.13
8634,8636,2020-07-06 17:00:00,101.6,북,352.0,23.0,21.22
8635,8637,2020-07-06 17:30:00,82.0,북,352.0,22.96,21.28
8636,8638,2020-07-06 18:00:00,47.8,북,351.0,22.96,21.31
8637,8639,2020-07-06 18:30:00,16.1,북,355.0,22.97,21.29
8638,8640,2020-07-06 19:00:00,44.0,남남동,168.0,23.11,21.33
8639,8641,2020-07-06 19:30:00,89.9,남,176.0,23.11,21.23
8640,8642,2020-07-06 20:00:00,120.3,남,178.0,23.14,20.88
8641,8643,2020-07-06 20:30:00,120.9,남,174.0,23.1,20.99
8642,8644,2020-07-06 21:00:00,119.1,남,171.0,23.17,20.9
8643,8645,2020-07-06 21:30:00,121.4,남,172.0,23.33,20.6
8644,8646,2020-07-06 22:00:00,124.3,남,170.0,23.49,20.24
8645,8647,2020-07-06 22:30:00,115.3,남,170.0,23.64,19.77
8646,8648,2020-07-06 23:00:00,97.7,남,170.0,23.76,19.29
8647,8649,2020-07-06 23:30:00,85.0,남남동,167.0,23.89,18.79
8648,8650,2020-07-07 00:00:00,42.6,남남동,167.0,23.97,18.49
8649,8651,2020-07-07 00:30:00,9.6,남,191.0,24.05,18.48
8650,8652,2020-07-07 01:00:00,23.1,북,359.0,24.02,18.47
