,Unnamed: 0,Observation time,Surface flow velocity,Surface direction,Surface frankincense,Water temperature,Salinity
0,0,2020-01-01 00:30:00,109.4,남,175.0,5.6,24.02
1,1,2020-01-01 01:00:00,96.2,남,177.0,5.55,23.83
2,2,2020-01-01 01:30:00,78.4,남,178.0,5.45,23.64
3,3,2020-01-01 02:00:00,64.3,남,171.0,5.32,23.4
4,4,2020-01-01 02:30:00,59.1,남,171.0,5.21,23.17
5,5,2020-01-01 03:00:00,43.0,남,170.0,5.12,23.06
6,6,2020-01-01 03:30:00,4.7,동남동,116.0,5.04,22.99
7,7,2020-01-01 04:00:00,29.7,북,356.0,5.17,23.11
8,8,2020-01-01 04:30:00,44.5,북,351.0,5.18,23.08
9,9,2020-01-01 05:00:00,86.7,북,352.0,5.37,23.51
10,10,2020-01-01 05:30:00,86.7,북,353.0,5.52,23.69
11,11,2020-01-01 06:00:00,91.6,북,349.0,5.62,23.93
12,12,2020-01-01 06:30:00,99.8,북,351.0,5.62,24.02
13,13,2020-01-01 07:00:00,100.2,북,352.0,5.66,24.17
14,14,2020-01-01 07:30:00,76.4,북,352.0,5.66,24.23
15,15,2020-01-01 08:00:00,73.2,북,353.0,5.67,24.27
16,16,2020-01-01 08:30:00,57.6,북,355.0,5.64,24.3
17,17,2020-01-01 09:00:00,28.0,북북서,349.0,5.61,24.31
18,18,2020-01-01 09:30:00,2.7,서남서,242.0,5.59,24.31
19,19,2020-01-01 10:00:00,49.8,남,175.0,5.58,24.28
20,20,2020-01-01 10:30:00,87.7,남,183.0,5.6,24.22
21,21,2020-01-01 11:00:00,104.0,남,180.0,5.59,24.12
22,22,2020-01-01 11:30:00,123.1,남,181.0,5.6,24.09
23,23,2020-01-01 12:00:00,124.3,남,182.0,5.55,23.96
24,24,2020-01-01 12:30:00,104.3,남,174.0,5.48,23.75
25,25,2020-01-01 13:00:00,96.2,남,176.0,5.38,23.48
26,26,2020-01-01 13:30:00,82.7,남,175.0,5.27,23.16
27,27,2020-01-01 14:00:00,74.1,남,172.0,5.19,22.94
28,28,2020-01-01 14:30:00,58.9,남,170.0,5.05,22.64
29,29,2020-01-01 15:00:00,22.4,남남동,166.0,4.96,22.56
30,30,2020-01-01 15:30:00,17.3,북북서,339.0,4.98,22.6
31,31,2020-01-01 16:00:00,37.1,북,350.0,5.08,22.71
32,32,2020-01-01 16:30:00,76.5,북,349.0,5.2,23.0
33,33,2020-01-01 17:00:00,92.0,북,353.0,5.35,23.2
34,34,2020-01-01 17:30:00,102.1,북,352.0,5.48,23.57
35,35,2020-01-01 18:00:00,94.2,북,352.0,5.62,23.78
36,36,2020-01-01 18:30:00,97.1,북,352.0,5.63,23.92
37,37,2020-01-01 19:00:00,90.5,북,352.0,5.64,23.97
38,38,2020-01-01 19:30:00,96.3,북,351.0,5.66,24.01
39,39,2020-01-01 20:00:00,90.2,북,351.0,5.65,24.04
40,40,2020-01-01 20:30:00,71.5,북,355.0,5.66,24.07
41,41,2020-01-01 21:00:00,38.5,북북서,348.0,5.68,24.1
42,42,2020-01-01 21:30:00,17.2,북북서,342.0,5.7,24.11
43,43,2020-01-01 22:00:00,14.0,남,173.0,5.7,24.11
44,44,2020-01-01 22:30:00,64.8,남,178.0,5.63,24.05
45,45,2020-01-01 23:00:00,94.2,남,180.0,5.63,23.9
46,46,2020-01-01 23:30:00,103.8,남,183.0,5.61,23.95
47,47,2020-01-02 00:00:00,104.0,남,183.0,5.63,23.94
48,48,2020-01-02 00:30:00,103.6,남,180.0,5.59,23.82
49,49,2020-01-02 01:00:00,98.5,남,178.0,5.55,23.7
50,50,2020-01-02 01:30:00,103.0,남,180.0,5.5,23.58
51,51,2020-01-02 02:00:00,82.6,남,174.0,5.44,23.36
52,52,2020-01-02 02:30:00,64.3,남,175.0,5.35,23.17
53,53,2020-01-02 03:00:00,48.1,남,174.0,5.24,22.96
54,54,2020-01-02 03:30:00,31.4,남남동,167.0,5.17,22.91
55,55,2020-01-02 04:00:00,11.0,북,355.0,5.14,22.85
56,56,2020-01-02 04:30:00,26.5,북,356.0,5.2,22.89
57,57,2020-01-02 05:00:00,36.3,북,351.0,5.2,22.89
58,58,2020-01-02 05:30:00,74.4,북,352.0,5.34,23.19
59,59,2020-01-02 06:00:00,77.1,북,352.0,5.49,23.41
60,60,2020-01-02 06:30:00,87.1,북,354.0,5.51,23.52
61,61,2020-01-02 07:00:00,91.1,북,352.0,5.61,23.7
62,62,2020-01-02 07:30:00,80.4,북,352.0,5.6,23.79
63,63,2020-01-02 08:00:00,80.9,북,351.0,5.63,23.88
64,64,2020-01-02 08:30:00,67.7,북,353.0,5.65,23.9
65,65,2020-01-02 09:00:00,47.7,북북서,349.0,5.62,23.92
66,66,2020-01-02 09:30:00,28.8,북북서,345.0,5.62,23.94
67,67,2020-01-02 10:00:00,3.6,북북서,344.0,5.61,23.97
68,68,2020-01-02 10:30:00,22.2,남,172.0,5.63,23.97
69,69,2020-01-02 11:00:00,55.1,남,180.0,5.61,23.97
70,70,2020-01-02 11:30:00,98.4,남,184.0,5.63,23.82
71,71,2020-01-02 12:00:00,103.4,남,182.0,5.58,23.77
72,72,2020-01-02 12:30:00,107.7,남,179.0,5.55,23.69
73,73,2020-01-02 13:00:00,105.9,남,175.0,5.53,23.59
74,74,2020-01-02 13:30:00,91.3,남,174.0,5.46,23.4
75,75,2020-01-02 14:00:00,77.5,남,176.0,5.38,23.23
76,76,2020-01-02 14:30:00,68.5,남,174.0,5.3,22.99
77,77,2020-01-02 15:00:00,56.3,남,173.0,5.22,22.8
78,78,2020-01-02 15:30:00,28.8,남,170.0,5.15,22.71
79,79,2020-01-02 16:00:00,8.7,북북동,16.0,5.13,22.68
80,80,2020-01-02 16:30:00,30.9,북북서,335.0,5.2,22.74
81,81,2020-01-02 17:00:00,49.3,북북서,340.0,5.2,22.73
82,82,2020-01-02 17:30:00,79.9,북북서,348.0,5.39,23.06
83,83,2020-01-02 18:00:00,87.7,북,354.0,5.6,23.39
84,84,2020-01-02 18:30:00,91.6,북,350.0,5.67,23.54
85,85,2020-01-02 19:00:00,88.9,북,352.0,5.63,23.58
86,86,2020-01-02 19:30:00,84.2,북,352.0,5.64,23.72
87,87,2020-01-02 20:00:00,82.3,북,350.0,5.64,23.76
88,88,2020-01-02 20:30:00,73.0,북,352.0,5.66,23.79
89,89,2020-01-02 21:00:00,57.6,북,354.0,5.63,23.83
90,90,2020-01-02 21:30:00,36.5,북북서,345.0,5.63,23.84
91,91,2020-01-02 22:00:00,13.5,북북서,342.0,5.64,23.84
92,92,2020-01-02 22:30:00,10.0,남남동,153.0,5.64,23.86
93,93,2020-01-02 23:00:00,46.6,남,176.0,5.58,23.82
94,94,2020-01-02 23:30:00,69.9,남,180.0,5.57,23.77
95,95,2020-01-03 00:00:00,87.7,남,182.0,5.59,23.71
96,96,2020-01-03 00:30:00,92.5,남,180.0,5.59,23.62
97,97,2020-01-03 01:00:00,97.1,남,177.0,5.59,23.62
98,98,2020-01-03 01:30:00,84.4,남,177.0,5.56,23.56
99,99,2020-01-03 02:00:00,82.8,남,178.0,5.5,23.44
100,100,2020-01-03 02:30:00,78.5,남,176.0,5.49,23.28
101,101,2020-01-03 03:00:00,65.2,남,174.0,5.41,23.14
102,102,2020-01-03 03:30:00,53.6,남,173.0,5.33,23.0
103,103,2020-01-03 04:00:00,39.3,남,174.0,5.26,22.91
104,104,2020-01-03 04:30:00,11.5,남,186.0,5.21,22.86
105,105,2020-01-03 05:00:00,11.0,북,350.0,5.24,22.84
106,106,2020-01-03 05:30:00,32.7,북,357.0,5.32,22.95
107,107,2020-01-03 06:00:00,37.3,북북서,340.0,5.29,22.9
108,108,2020-01-03 06:30:00,74.3,북,353.0,5.41,23.17
109,109,2020-01-03 07:00:00,75.7,북,353.0,5.52,23.26
110,110,2020-01-03 07:30:00,77.2,북,354.0,5.57,23.37
111,111,2020-01-03 08:00:00,78.9,북,353.0,5.58,22.57
112,112,2020-01-03 08:30:00,74.0,북,350.0,5.58,22.58
113,113,2020-01-03 09:00:00,52.6,북,352.0,5.55,22.67
114,114,2020-01-03 09:30:00,54.5,북,352.0,5.56,22.67
115,115,2020-01-03 10:00:00,38.8,북,352.0,5.59,22.72
116,116,2020-01-03 10:30:00,19.0,북북서,344.0,5.61,22.72
117,117,2020-01-03 11:00:00,3.1,남남서,202.0,5.61,22.67
118,118,2020-01-03 11:30:00,31.6,남,174.0,5.62,22.74
119,119,2020-01-03 12:00:00,60.8,남,182.0,5.76,22.75
120,120,2020-01-03 12:30:00,74.9,남,183.0,5.78,22.55
121,121,2020-01-03 13:00:00,88.3,남,182.0,5.57,22.49
122,122,2020-01-03 13:30:00,96.2,남,177.0,5.55,22.43
123,123,2020-01-03 14:00:00,83.0,남,178.0,5.51,22.32
124,124,2020-01-03 14:30:00,77.7,남,178.0,5.48,22.21
125,125,2020-01-03 15:00:00,69.0,남,177.0,5.42,22.09
126,126,2020-01-03 15:30:00,53.1,남,177.0,5.36,22.0
127,127,2020-01-03 16:00:00,41.0,남,180.0,5.3,21.84
128,128,2020-01-03 16:30:00,18.5,남,178.0,5.24,21.75
129,129,2020-01-03 17:00:00,4.1,서,259.0,5.24,21.77
130,130,2020-01-03 17:30:00,27.5,북북서,339.0,5.28,21.71
131,131,2020-01-03 18:00:00,42.9,북북서,343.0,5.32,22.8
132,132,2020-01-03 18:30:00,83.4,북,349.0,5.46,23.18
133,133,2020-01-03 19:00:00,82.2,북,352.0,5.85,23.25
134,134,2020-01-03 19:30:00,80.4,북,352.0,5.62,23.44
135,135,2020-01-03 20:00:00,70.5,북,352.0,5.65,23.56
136,136,2020-01-03 20:30:00,74.8,북,351.0,5.69,23.65
137,137,2020-01-03 21:00:00,64.0,북,351.0,5.64,23.72
138,138,2020-01-03 21:30:00,42.6,북,349.0,5.64,23.73
139,139,2020-01-03 22:00:00,34.3,북북서,349.0,5.65,23.77
140,140,2020-01-03 22:30:00,34.3,북,349.0,5.64,23.79
141,141,2020-01-03 23:00:00,13.2,북,354.0,5.67,23.81
142,142,2020-01-03 23:30:00,20.5,남남동,160.0,5.65,23.8
143,143,2020-01-04 00:00:00,45.0,남,181.0,5.59,23.8
144,144,2020-01-04 00:30:00,63.9,남,182.0,5.73,23.74
145,145,2020-01-04 01:00:00,75.7,남,184.0,5.63,23.61
146,146,2020-01-04 01:30:00,79.0,남,182.0,5.56,23.53
147,147,2020-01-04 02:00:00,77.5,남,178.0,5.51,23.44
148,148,2020-01-04 02:30:00,78.6,남,180.0,5.49,23.36
149,149,2020-01-04 03:00:00,78.6,남,177.0,5.45,23.28
150,150,2020-01-04 03:30:00,66.9,남,175.0,5.42,23.18
151,151,2020-01-04 04:00:00,54.2,남,178.0,5.35,23.06
152,152,2020-01-04 04:30:00,44.6,남,180.0,5.3,22.94
153,153,2020-01-04 05:00:00,32.7,남,184.0,5.25,22.87
154,154,2020-01-04 05:30:00,10.5,남서,218.0,5.2,22.82
155,155,2020-01-04 06:00:00,8.9,북북동,27.0,5.23,22.86
156,156,2020-01-04 06:30:00,28.5,북,357.0,5.24,22.84
157,157,2020-01-04 07:00:00,45.7,북북서,349.0,5.29,22.91
158,158,2020-01-04 07:30:00,68.4,북,350.0,5.42,23.13
159,159,2020-01-04 08:00:00,68.1,북,353.0,5.5,23.25
160,160,2020-01-04 08:30:00,72.5,북,356.0,5.49,23.24
161,161,2020-01-04 09:00:00,75.2,북,352.0,5.57,23.47
162,162,2020-01-04 09:30:00,73.0,북,352.0,5.56,23.56
163,163,2020-01-04 10:00:00,63.7,북,351.0,5.57,23.64
164,164,2020-01-04 10:30:00,47.6,북,356.0,5.56,23.67
165,165,2020-01-04 11:00:00,35.3,북북서,343.0,5.56,23.69
166,166,2020-01-04 11:30:00,21.7,북북서,343.0,5.59,23.71
167,167,2020-01-04 12:00:00,3.8,북북서,334.0,5.61,23.73
168,168,2020-01-04 12:30:00,26.5,남,176.0,5.64,23.71
169,169,2020-01-04 13:00:00,49.9,남,184.0,5.64,23.73
170,170,2020-01-04 13:30:00,65.7,남,182.0,5.75,23.62
171,171,2020-01-04 14:00:00,77.1,남,181.0,5.63,23.46
172,172,2020-01-04 14:30:00,90.4,남,181.0,5.59,23.21
173,173,2020-01-04 15:00:00,79.9,남,179.0,5.53,23.25
174,174,2020-01-04 15:30:00,74.9,남,178.0,5.51,23.21
175,175,2020-01-04 16:00:00,60.7,남,177.0,5.49,23.06
176,176,2020-01-04 16:30:00,45.8,남,184.0,5.42,22.98
177,177,2020-01-04 17:00:00,41.6,남,179.0,5.34,22.8
178,178,2020-01-04 17:30:00,14.8,남,188.0,5.34,22.76
179,179,2020-01-04 18:00:00,4.5,서,272.0,5.34,22.73
180,180,2020-01-04 18:30:00,15.8,북북서,341.0,5.33,22.74
181,181,2020-01-04 19:00:00,38.8,북북서,342.0,5.35,22.82
182,182,2020-01-04 19:30:00,68.3,북북서,349.0,5.46,23.0
183,183,2020-01-04 20:00:00,71.4,북,352.0,5.58,23.18
