,Unnamed: 0,Observation time,Surface flow velocity,Surface direction,Surface frankincense,Water temperature,Salinity
8556,8790,2020-07-03 15:00:00,9.9,북북동,24.0,21.36,21.35
8557,8791,2020-07-03 15:30:00,7.3,북,354.0,21.53,21.58
8558,8792,2020-07-03 16:00:00,10.7,서,273.0,21.41,21.75
8559,8793,2020-07-03 16:30:00,24.2,서,265.0,21.37,21.58
8560,8794,2020-07-03 17:00:00,35.9,서남서,258.0,21.44,21.24
8561,8795,2020-07-03 17:30:00,41.2,서,260.0,21.55,21.0
8562,8796,2020-07-03 18:00:00,43.4,서,274.0,21.66,20.54
8563,8797,2020-07-03 18:30:00,44.1,서,279.0,21.69,20.71
8564,8798,2020-07-03 19:00:00,48.0,서,273.0,21.78,20.52
8565,8799,2020-07-03 19:30:00,57.5,서,268.0,22.0,20.48
8566,8800,2020-07-03 20:00:00,52.8,서,268.0,21.91,20.4
8567,8801,2020-07-03 20:30:00,49.6,서,264.0,22.03,20.36
8568,8802,2020-07-03 21:00:00,46.6,서,262.0,22.19,20.47
8569,8803,2020-07-03 21:30:00,35.0,서남서,257.0,22.31,20.62
8570,8804,2020-07-03 22:00:00,11.7,남남서,214.0,22.34,20.72
8571,8805,2020-07-03 22:30:00,16.8,동북동,77.0,22.27,20.88
8572,8806,2020-07-03 23:00:00,32.0,동북동,72.0,22.22,20.76
8573,8807,2020-07-03 23:30:00,38.0,동북동,70.0,22.16,20.71
8574,8808,2020-07-04 00:00:00,55.9,동북동,70.0,21.94,20.65
8575,8809,2020-07-04 00:30:00,48.5,동북동,64.0,21.87,20.59
8576,8810,2020-07-04 01:00:00,49.3,북동,51.0,21.9,20.53
8577,8811,2020-07-04 01:30:00,40.0,북동,51.0,21.83,20.74
8578,8812,2020-07-04 02:00:00,37.6,동북동,63.0,21.63,20.8
8579,8813,2020-07-04 02:30:00,40.0,북동,55.0,21.47,20.92
8580,8814,2020-07-04 03:00:00,31.5,동북동,59.0,21.44,20.85
8581,8815,2020-07-04 03:30:00,17.0,동북동,60.0,21.35,20.86
8582,8816,2020-07-04 04:00:00,7.4,남동,143.0,21.15,21.19
8583,8817,2020-07-04 04:30:00,15.8,남남서,212.0,21.14,20.27
8584,8818,2020-07-04 05:00:00,22.9,서남서,244.0,21.13,20.06
8585,8819,2020-07-04 05:30:00,31.9,서남서,250.0,21.19,19.96
8586,8820,2020-07-04 06:00:00,40.5,서남서,254.0,21.31,19.78
8587,8821,2020-07-04 06:30:00,45.3,서남서,258.0,21.26,19.94
8588,8822,2020-07-04 07:00:00,43.3,서,268.0,21.23,20.06
8589,8823,2020-07-04 07:30:00,37.7,서북서,282.0,21.33,20.03
8590,8824,2020-07-04 08:00:00,36.6,서북서,282.0,21.76,19.99
8591,8825,2020-07-04 08:30:00,51.8,서,264.0,21.76,20.01
8592,8826,2020-07-04 09:00:00,47.8,서,264.0,21.8,19.95
