,Unnamed: 0,Observation time,Surface flow velocity,Surface direction,Surface frankincense,Water temperature,Salinity
8184,8267,2020-07-01 04:00:00,24.7,동,83.0,17.68,25.87
8185,8268,2020-07-01 04:30:00,12.7,동,100.0,17.65,25.64
8186,8269,2020-07-01 05:00:00,7.1,남동,144.0,17.66,25.81
8187,8270,2020-07-01 05:30:00,14.4,남남서,203.0,17.64,25.79
8188,8271,2020-07-01 06:00:00,24.0,남남서,214.0,17.66,25.86
8189,8272,2020-07-01 06:30:00,29.4,남서,219.0,17.61,25.89
8190,8273,2020-07-01 07:00:00,27.0,남남서,213.0,17.5,25.89
8191,8274,2020-07-01 07:30:00,29.2,남남서,206.0,17.47,25.89
8192,8275,2020-07-01 08:00:00,25.2,남남서,196.0,17.44,25.86
8193,8276,2020-07-01 08:30:00,26.8,남,188.0,17.51,25.87
8194,8277,2020-07-01 09:30:00,23.5,남남동,164.0,17.46,25.85
8195,8278,2020-07-01 10:00:00,26.7,남남동,149.0,17.44,25.84
8196,8279,2020-07-01 10:30:00,28.1,남동,130.0,17.41,25.83
8197,8280,2020-07-01 11:00:00,32.7,동남동,116.0,17.37,25.85
8198,8281,2020-07-01 11:30:00,41.8,동남동,111.0,17.32,25.85
8199,8282,2020-07-01 12:00:00,48.9,동,100.0,17.44,25.8
8200,8283,2020-07-01 12:30:00,54.6,동,100.0,17.34,25.77
8201,8284,2020-07-01 13:30:00,41.8,동남동,110.0,17.71,25.68
8202,8285,2020-07-01 14:00:00,34.0,동남동,112.0,17.91,25.7
8203,8286,2020-07-01 14:30:00,26.2,동남동,102.0,17.7,25.68
8204,8287,2020-07-01 15:00:00,9.7,동북동,66.0,17.6,25.64
8205,8288,2020-07-01 15:30:00,5.6,북북서,334.0,17.55,25.61
8206,8289,2020-07-01 16:00:00,17.2,서,270.0,17.48,25.62
8207,8290,2020-07-01 16:30:00,27.6,서남서,256.0,18.19,25.75
8208,8291,2020-07-01 17:00:00,33.8,서,267.0,18.71,25.7
8209,8292,2020-07-01 17:30:00,36.3,서북서,285.0,17.25,25.79
8210,8293,2020-07-01 18:00:00,34.1,서북서,303.0,17.85,25.65
8211,8294,2020-07-01 18:30:00,29.8,북서,305.0,17.56,25.68
8212,8295,2020-07-01 19:00:00,29.6,서북서,282.0,16.75,25.61
8213,8296,2020-07-01 19:30:00,19.4,서남서,252.0,17.08,25.82
8214,8297,2020-07-01 20:00:00,9.7,남서,233.0,17.25,25.66
8215,8298,2020-07-01 20:30:00,17.1,남남서,204.0,17.08,25.79
8216,8299,2020-07-01 21:00:00,27.4,남,181.0,17.36,25.78
8217,8300,2020-07-01 21:30:00,26.3,남,175.0,17.06,25.79
8218,8301,2020-07-01 22:00:00,29.7,남남동,166.0,16.84,25.8
8219,8302,2020-07-01 22:30:00,31.4,남남동,160.0,17.07,25.8
8220,8303,2020-07-01 23:00:00,35.6,남남동,165.0,17.82,25.66
8221,8304,2020-07-01 23:30:00,43.3,남남동,149.0,17.59,25.61
8222,8305,2020-07-02 01:00:00,40.6,남동,135.0,18.09,25.56
8223,8307,2020-07-02 03:30:00,21.0,동,92.0,17.46,25.5
8224,8308,2020-07-02 04:00:00,11.6,북동,53.0,17.43,25.51
8225,8309,2020-07-02 04:30:00,12.5,북북서,344.0,17.43,25.46
8226,8310,2020-07-02 05:00:00,32.2,서,280.0,18.24,25.36
8227,8311,2020-07-02 05:30:00,36.1,서,268.0,18.16,25.44
8228,8312,2020-07-02 06:30:00,29.5,서남서,254.0,17.75,25.5
8229,8313,2020-07-02 07:00:00,34.5,서남서,242.0,17.78,25.5
8230,8314,2020-07-02 07:30:00,36.1,남서,224.0,17.69,25.51
8231,8315,2020-07-02 08:00:00,38.7,남서,215.0,17.77,25.51
8232,8316,2020-07-02 09:00:00,32.4,남남서,197.0,17.65,25.54
8233,8317,2020-07-02 09:30:00,31.9,남,183.0,17.59,25.51
8234,8318,2020-07-02 10:00:00,35.8,남남동,165.0,17.76,25.5
8235,8319,2020-07-02 11:00:00,42.5,남동,140.0,17.7,25.47
8236,8320,2020-07-02 11:30:00,42.0,남동,132.0,17.49,25.53
8237,8321,2020-07-02 12:00:00,42.8,남동,124.0,17.46,25.54
8238,8322,2020-07-02 12:30:00,47.4,동남동,118.0,17.15,25.52
8239,8323,2020-07-02 13:00:00,46.3,동남동,107.0,17.2,25.59
8240,8324,2020-07-02 13:30:00,51.2,동남동,105.0,17.44,25.61
8241,8325,2020-07-02 14:00:00,50.6,동남동,105.0,17.25,25.52
8242,8326,2020-07-02 14:30:00,40.2,동,94.0,17.42,25.56
8243,8327,2020-07-02 15:00:00,39.0,동,83.0,17.56,25.51
8244,8328,2020-07-02 15:30:00,21.9,동북동,66.0,17.21,25.56
8245,8329,2020-07-02 16:00:00,12.1,북북동,18.0,17.15,25.58
8246,8330,2020-07-02 17:00:00,47.5,서북서,282.0,18.6,25.5
8247,8331,2020-07-02 17:30:00,47.2,서북서,285.0,18.21,25.5
8248,8332,2020-07-02 18:00:00,41.2,서,278.0,18.06,25.54
8249,8333,2020-07-02 18:30:00,44.5,서,270.0,17.52,25.57
8250,8334,2020-07-02 19:00:00,43.2,서북서,289.0,17.89,25.55
8251,8335,2020-07-02 19:30:00,43.9,북서,311.0,16.83,25.77
8252,8336,2020-07-02 20:00:00,73.0,북북서,330.0,16.9,25.71
8253,8337,2020-07-02 20:30:00,60.0,북북서,328.0,17.12,25.66
8254,8338,2020-07-02 21:00:00,24.0,서북서,292.0,16.82,25.66
8255,8339,2020-07-02 21:30:00,36.1,남남서,213.0,17.15,25.6
8256,8340,2020-07-02 22:00:00,45.0,남,182.0,17.29,25.53
8257,8341,2020-07-02 22:30:00,54.4,남남동,167.0,16.97,25.56
8258,8342,2020-07-02 23:00:00,49.3,남남동,168.0,16.92,25.55
8259,8343,2020-07-02 23:30:00,46.1,남,177.0,17.32,25.5
8260,8344,2020-07-03 00:00:00,42.8,남,170.0,17.54,25.47
8261,8345,2020-07-03 00:30:00,36.1,남남동,152.0,17.71,25.42
8262,8346,2020-07-03 01:00:00,41.0,남동,143.0,17.93,25.34
8263,8347,2020-07-03 01:30:00,42.9,남동,137.0,18.23,25.3
8264,8348,2020-07-03 02:00:00,35.5,남동,139.0,18.48,25.26
8265,8349,2020-07-03 02:30:00,33.9,남동,141.0,18.39,25.2
8266,8350,2020-07-03 03:00:00,24.3,남동,132.0,18.34,25.27
8267,8351,2020-07-03 03:30:00,18.6,동,101.0,18.15,25.27
8268,8352,2020-07-03 04:00:00,13.5,동,91.0,17.94,25.3
8269,8353,2020-07-03 04:30:00,9.3,북북동,17.0,17.97,25.39
8270,8354,2020-07-03 05:00:00,15.7,북서,306.0,18.14,25.39
8271,8355,2020-07-03 05:30:00,37.7,서북서,294.0,18.36,25.37
8272,8356,2020-07-03 06:00:00,42.2,서북서,288.0,18.08,25.41
8273,8357,2020-07-03 06:30:00,47.5,서북서,286.0,17.89,25.48
8274,8358,2020-07-03 07:00:00,36.5,서북서,282.0,17.74,25.49
8275,8359,2020-07-03 07:30:00,46.8,서,259.0,17.79,25.5
8276,8360,2020-07-03 08:00:00,45.3,서남서,252.0,17.7,25.56
8277,8361,2020-07-03 08:30:00,32.4,서,268.0,17.49,25.61
8278,8362,2020-07-03 09:00:00,37.8,서남서,237.0,17.46,25.61
8279,8363,2020-07-03 09:30:00,28.8,서남서,240.0,17.41,25.61
8280,8364,2020-07-03 10:00:00,13.7,서남서,255.0,17.55,25.61
8281,8365,2020-07-03 10:30:00,28.5,남서,227.0,17.6,25.57
8282,8366,2020-07-03 11:00:00,25.5,남남서,199.0,17.53,25.6
8283,8367,2020-07-03 12:00:00,27.3,남,174.0,17.64,25.62
8284,8368,2020-07-03 12:30:00,26.9,남남동,160.0,17.8,25.61
8285,8369,2020-07-03 13:00:00,26.6,남동,135.0,17.66,25.57
8286,8370,2020-07-03 13:30:00,29.0,동남동,123.0,17.52,25.68
8287,8371,2020-07-03 14:00:00,30.5,동남동,119.0,17.4,25.72
8288,8372,2020-07-03 14:30:00,31.2,동남동,105.0,17.38,25.73
8289,8373,2020-07-03 15:00:00,22.8,동남동,101.0,17.31,25.66
8290,8374,2020-07-03 15:30:00,20.7,동,90.0,17.29,25.79
8291,8375,2020-07-03 16:00:00,17.9,동북동,61.0,17.39,25.86
8292,8376,2020-07-03 16:30:00,10.7,북북서,345.0,17.4,25.81
8293,8377,2020-07-03 17:00:00,20.3,서북서,297.0,17.32,25.86
8294,8378,2020-07-03 17:30:00,49.7,서북서,292.0,17.55,25.91
8295,8379,2020-07-03 18:00:00,63.8,서북서,283.0,17.57,25.92
8296,8380,2020-07-03 18:30:00,65.5,서북서,285.0,17.57,25.92
8297,8381,2020-07-03 19:00:00,59.3,서,281.0,17.57,25.9
8298,8382,2020-07-03 19:30:00,48.9,서북서,288.0,17.27,25.83
8299,8383,2020-07-03 20:00:00,71.4,북서,317.0,16.98,25.97
8300,8384,2020-07-03 20:30:00,67.1,북서,310.0,16.87,25.9
8301,8385,2020-07-03 21:00:00,40.2,서북서,294.0,17.06,25.83
8302,8386,2020-07-03 22:00:00,45.8,남남서,195.0,17.6,25.76
8303,8387,2020-07-03 22:30:00,59.9,남,188.0,17.51,25.72
8304,8388,2020-07-03 23:00:00,56.1,남,183.0,17.68,25.71
8305,8389,2020-07-03 23:30:00,53.6,남,176.0,17.65,25.72
8306,8390,2020-07-04 00:00:00,58.8,남,177.0,18.0,25.68
8307,8391,2020-07-04 00:30:00,40.5,남남동,158.0,17.95,25.64
8308,8392,2020-07-04 01:00:00,50.2,남남동,148.0,18.0,25.61
8309,8393,2020-07-04 01:30:00,56.9,남동,141.0,18.22,25.56
8310,8394,2020-07-04 02:00:00,59.7,남동,133.0,18.24,25.55
8311,8395,2020-07-04 02:30:00,47.4,남동,124.0,18.4,25.52
8312,8396,2020-07-04 03:00:00,40.9,동남동,111.0,18.39,25.55
8313,8397,2020-07-04 03:30:00,72.0,동,101.0,17.37,25.74
8314,8398,2020-07-04 04:00:00,71.2,동남동,115.0,17.39,25.61
8315,8399,2020-07-04 05:00:00,36.7,동북동,75.0,17.34,25.65
8316,8400,2020-07-04 05:30:00,28.8,북동,49.0,17.36,25.63
8317,8401,2020-07-04 06:00:00,14.5,북북동,14.0,17.3,25.65
8318,8402,2020-07-04 06:30:00,11.5,북,350.0,17.3,25.67
8319,8403,2020-07-04 07:00:00,14.6,북서,316.0,17.32,25.66
8320,8404,2020-07-04 07:30:00,26.2,서,280.0,17.3,25.7
8321,8405,2020-07-04 08:00:00,43.0,서,263.0,17.75,25.66
8322,8406,2020-07-04 08:30:00,40.5,서남서,257.0,17.7,25.62
8323,8407,2020-07-04 09:00:00,45.7,서,259.0,18.1,25.61
