,Unnamed: 0,Observation time,Surface flow velocity,Surface direction,Surface frankincense,Water temperature,Salinity
8721,8724,2020-07-01 17:30:00,13.2,동,84.0,21.41,25.67
8722,8725,2020-07-01 18:00:00,16.4,동,99.0,21.29,25.69
8723,8726,2020-07-01 18:30:00,23.3,동,99.0,21.25,25.58
8724,8727,2020-07-01 19:00:00,23.9,동,101.0,21.09,25.83
8725,8728,2020-07-01 19:30:00,25.2,동남동,108.0,21.65,25.96
8726,8729,2020-07-01 20:00:00,35.6,동남동,122.0,21.79,26.08
8727,8730,2020-07-01 20:30:00,42.4,남동,125.0,21.7,26.33
8728,8731,2020-07-01 21:00:00,44.0,동남동,123.0,21.85,26.61
8729,8732,2020-07-01 21:30:00,28.8,동남동,110.0,20.91,25.9
8730,8733,2020-07-01 22:00:00,46.7,동남동,109.0,20.8,26.09
8731,8734,2020-07-01 22:30:00,54.5,동남동,123.0,21.14,25.86
8732,8735,2020-07-01 23:00:00,43.1,동남동,115.0,21.25,26.3
8733,8736,2020-07-01 23:30:00,34.7,동남동,117.0,21.85,25.97
8734,8737,2020-07-02 00:00:00,23.9,동남동,115.0,21.96,26.09
8735,8738,2020-07-02 00:30:00,29.1,남남동,150.0,21.63,26.18
8736,8739,2020-07-02 01:00:00,19.0,남남동,161.0,21.5,25.61
8737,8740,2020-07-02 01:30:00,10.3,동북동,58.0,21.73,25.69
8738,8741,2020-07-02 02:00:00,17.8,북북동,30.0,21.77,25.72
8739,8742,2020-07-02 02:30:00,13.0,북동,38.0,21.79,25.97
8740,8743,2020-07-02 03:00:00,17.8,북,356.0,21.57,25.78
8741,8744,2020-07-02 03:30:00,17.5,북북서,341.0,21.66,26.15
8742,8745,2020-07-02 04:00:00,8.9,북북동,30.0,21.83,25.42
8743,8746,2020-07-02 04:30:00,5.8,동남동,117.0,21.65,26.16
8744,8747,2020-07-02 05:00:00,8.5,동남동,102.0,21.69,25.82
8745,8748,2020-07-02 05:30:00,13.9,동남동,107.0,21.51,25.89
8746,8749,2020-07-02 06:00:00,19.8,동남동,116.0,21.36,24.93
8747,8750,2020-07-02 06:30:00,28.2,남동,133.0,21.72,25.21
8748,8751,2020-07-02 07:00:00,26.0,남동,136.0,21.76,23.56
8749,8752,2020-07-02 07:30:00,27.4,남동,142.0,21.79,23.72
8750,8753,2020-07-02 08:00:00,32.8,남동,145.0,21.47,24.96
8751,8754,2020-07-02 08:30:00,37.0,남동,131.0,20.31,23.9
8752,8755,2020-07-02 09:00:00,40.8,남동,143.0,21.43,22.83
8753,8756,2020-07-02 09:30:00,41.8,남남동,151.0,21.09,25.69
8754,8757,2020-07-02 10:00:00,44.9,남남동,153.0,20.84,25.63
8755,8758,2020-07-02 10:30:00,41.7,남남동,154.0,20.52,25.74
8756,8759,2020-07-02 11:00:00,42.8,남동,141.0,20.74,25.85
8757,8760,2020-07-02 11:30:00,39.3,남동,144.0,21.13,25.66
8758,8761,2020-07-02 12:00:00,26.9,남동,145.0,21.75,25.74
8759,8762,2020-07-02 12:30:00,21.0,남남동,165.0,21.54,22.35
8760,8763,2020-07-02 13:00:00,3.8,동,92.0,21.83,22.46
8761,8764,2020-07-02 13:30:00,9.9,북,6.0,21.93,22.48
8762,8765,2020-07-02 14:00:00,14.0,북북서,335.0,21.7,22.86
8763,8766,2020-07-02 14:30:00,10.3,북,351.0,21.76,22.43
8764,8767,2020-07-02 15:00:00,18.8,북,8.0,22.13,22.24
8765,8768,2020-07-02 15:30:00,17.5,북북동,23.0,22.24,24.18
8766,8769,2020-07-02 16:00:00,8.7,북동,45.0,21.87,22.82
8767,8770,2020-07-02 16:30:00,2.3,동북동,67.0,21.41,23.29
8768,8771,2020-07-02 17:00:00,7.6,남남동,165.0,21.62,22.56
8769,8772,2020-07-02 17:30:00,2.6,남남동,164.0,21.96,22.82
8770,8773,2020-07-02 18:00:00,8.8,남남서,201.0,22.09,22.47
8771,8774,2020-07-02 18:30:00,9.3,남,185.0,21.9,22.65
8772,8775,2020-07-02 19:00:00,17.2,남남동,157.0,21.88,22.97
8773,8776,2020-07-02 19:30:00,29.3,남남동,163.0,21.93,22.5
8774,8777,2020-07-02 20:00:00,39.2,남동,146.0,20.97,23.48
8775,8778,2020-07-02 20:30:00,40.6,동남동,115.0,21.68,22.03
8776,8779,2020-07-02 21:00:00,42.2,남동,134.0,21.31,21.92
8777,8780,2020-07-02 21:30:00,45.3,남남동,151.0,21.54,21.91
8778,8781,2020-07-02 22:00:00,47.2,남동,143.0,21.65,21.76
8779,8782,2020-07-02 22:30:00,52.8,남남동,147.0,21.55,21.99
8780,8783,2020-07-02 23:00:00,51.3,남동,144.0,21.05,22.42
8781,8784,2020-07-02 23:30:00,52.6,남동,137.0,20.81,22.47
8782,8785,2020-07-03 00:00:00,42.9,남남동,151.0,21.35,22.49
8783,8786,2020-07-03 00:30:00,32.2,남동,146.0,21.74,22.63
8784,8787,2020-07-03 01:00:00,33.4,남동,137.0,21.62,22.76
8785,8788,2020-07-03 01:30:00,26.8,남동,132.0,21.33,22.67
8786,8789,2020-07-03 02:00:00,9.2,남남동,154.0,21.13,23.59
8787,8790,2020-07-03 02:30:00,25.2,북서,318.0,21.32,24.36
8788,8791,2020-07-03 03:00:00,9.5,북북동,18.0,21.21,23.49
8789,8792,2020-07-03 03:30:00,29.0,북,9.0,21.35,22.86
8790,8793,2020-07-03 04:00:00,31.7,북북동,15.0,21.27,22.87
8791,8794,2020-07-03 04:30:00,33.5,북북서,347.0,21.24,23.19
8792,8795,2020-07-03 05:00:00,16.1,북북서,339.0,21.33,22.42
8793,8796,2020-07-03 05:30:00,9.4,서북서,299.0,21.4,22.12
8794,8797,2020-07-03 06:00:00,5.3,남서,225.0,21.55,22.64
8795,8798,2020-07-03 06:30:00,9.9,남,185.0,21.55,22.29
8796,8799,2020-07-03 07:00:00,20.2,남남동,159.0,21.6,22.24
8797,8800,2020-07-03 07:30:00,27.7,남동,141.0,21.33,22.34
8798,8801,2020-07-03 08:00:00,15.2,남남동,164.0,21.25,22.44
8799,8802,2020-07-03 08:30:00,27.4,남남동,149.0,21.28,22.74
8800,8803,2020-07-03 09:00:00,41.1,남남동,153.0,21.13,22.4
8801,8804,2020-07-03 09:30:00,25.2,남,172.0,20.91,23.34
