,Unnamed: 0,Observation time,Surface flow velocity,Surface direction,Surface frankincense,Water temperature,Salinity
0,0,2020-01-01 00:30:00,16.5,남서,231.0,13.5,33.42
1,1,2020-01-01 01:00:00,20.6,서,264.0,13.4,33.38
2,2,2020-01-01 01:30:00,19.3,서,271.0,13.4,33.36
3,3,2020-01-01 02:00:00,21.5,서,279.0,13.3,33.35
4,4,2020-01-01 02:30:00,17.6,서,280.0,13.4,33.28
5,5,2020-01-01 03:00:00,13.3,서,269.0,13.6,33.37
6,6,2020-01-01 03:30:00,7.2,서남서,257.0,13.6,33.38
7,7,2020-01-01 04:00:00,4.2,서남서,248.0,13.7,33.37
8,8,2020-01-01 04:30:00,2.7,동남동,118.0,13.6,33.39
9,9,2020-01-01 05:00:00,10.1,동남동,121.0,13.6,33.33
10,10,2020-01-01 05:30:00,24.1,남동,130.0,13.5,33.32
11,11,2020-01-01 06:00:00,40.7,남동,135.0,13.4,33.29
12,12,2020-01-01 06:30:00,48.8,남동,126.0,13.5,33.35
13,13,2020-01-01 07:00:00,57.8,남동,130.0,13.0,33.27
14,14,2020-01-01 07:30:00,63.4,남동,128.0,13.4,33.38
15,15,2020-01-01 08:00:00,63.3,남동,126.0,13.9,33.49
16,17,2020-01-01 09:00:00,50.8,동남동,120.0,13.9,33.46
17,18,2020-01-01 09:30:00,37.2,동남동,121.0,13.8,33.46
18,19,2020-01-01 10:00:00,25.0,남동,131.0,13.7,33.45
19,20,2020-01-01 10:30:00,16.5,남남동,165.0,13.1,33.3
20,21,2020-01-01 11:00:00,18.5,남,182.0,13.3,33.29
21,22,2020-01-01 11:30:00,11.4,남서,223.0,13.1,33.23
22,23,2020-01-01 12:00:00,21.7,서,270.0,13.1,33.19
23,24,2020-01-01 12:30:00,17.7,서,269.0,13.7,33.42
24,25,2020-01-01 13:00:00,22.2,서,278.0,13.8,33.38
25,26,2020-01-01 13:30:00,26.8,서,265.0,13.7,33.42
26,27,2020-01-01 14:00:00,31.2,서,278.0,13.7,33.43
27,28,2020-01-01 14:30:00,24.5,서북서,290.0,13.9,33.45
28,29,2020-01-01 15:00:00,16.7,서북서,287.0,13.9,33.39
29,30,2020-01-01 15:30:00,9.4,북서,317.0,13.7,33.41
30,31,2020-01-01 16:00:00,8.0,서,273.0,13.7,33.34
31,32,2020-01-01 16:30:00,3.9,동,98.0,13.7,33.35
32,33,2020-01-01 17:00:00,16.9,남동,127.0,13.8,33.45
33,34,2020-01-01 17:30:00,32.8,동남동,120.0,13.9,33.49
34,35,2020-01-01 18:00:00,35.3,동남동,121.0,14.0,33.43
35,36,2020-01-01 18:30:00,42.0,동남동,115.0,14.0,33.46
36,37,2020-01-01 19:00:00,47.8,동남동,112.0,13.9,33.43
37,38,2020-01-01 19:30:00,51.4,동남동,116.0,13.9,33.45
38,39,2020-01-01 20:00:00,53.4,동남동,123.0,13.8,33.43
39,40,2020-01-01 20:30:00,62.1,동남동,122.0,13.6,33.38
40,41,2020-01-01 21:00:00,51.4,남동,130.0,12.9,33.21
41,42,2020-01-01 21:30:00,51.4,남동,125.0,12.8,33.26
42,43,2020-01-01 22:00:00,59.2,남동,125.0,13.7,33.42
43,44,2020-01-01 22:30:00,43.6,남동,129.0,13.6,33.39
44,45,2020-01-01 23:00:00,37.8,동남동,121.0,13.7,33.45
45,46,2020-01-01 23:30:00,33.9,동남동,113.0,13.8,33.42
46,47,2020-01-02 00:00:00,19.6,동남동,108.0,13.8,33.39
47,48,2020-01-02 00:30:00,10.7,동남동,104.0,13.8,33.41
48,49,2020-01-02 01:00:00,12.0,동남동,108.0,13.8,33.43
49,50,2020-01-02 01:30:00,5.4,북동,42.0,13.8,33.45
50,51,2020-01-02 02:00:00,4.2,북북동,17.0,13.8,33.47
51,52,2020-01-02 02:30:00,2.0,남동,134.0,13.9,33.39
52,53,2020-01-02 03:00:00,5.0,동북동,68.0,13.9,33.41
53,54,2020-01-02 03:30:00,7.1,동북동,70.0,13.9,33.43
54,55,2020-01-02 04:00:00,8.1,동남동,107.0,13.9,33.46
55,56,2020-01-02 04:30:00,16.5,동,92.0,13.9,33.46
56,57,2020-01-02 05:00:00,24.2,동남동,108.0,14.0,33.46
57,58,2020-01-02 05:30:00,30.6,동남동,109.0,14.1,33.44
58,59,2020-01-02 06:00:00,41.3,동남동,110.0,14.2,33.53
59,60,2020-01-02 06:30:00,42.6,동남동,106.0,14.4,33.51
60,61,2020-01-02 07:00:00,51.9,동남동,112.0,14.3,33.58
61,62,2020-01-02 07:30:00,53.8,동남동,111.0,14.2,33.55
62,63,2020-01-02 08:00:00,55.9,동남동,111.0,14.1,33.44
63,64,2020-01-02 08:30:00,52.8,동남동,111.0,13.9,33.42
64,65,2020-01-02 09:00:00,54.3,동남동,108.0,13.9,33.39
65,66,2020-01-02 09:30:00,50.6,동남동,113.0,13.9,33.38
66,67,2020-01-02 10:00:00,28.3,동남동,109.0,13.8,33.44
67,68,2020-01-02 10:30:00,52.5,동,99.0,13.8,33.39
68,69,2020-01-02 11:00:00,41.6,동,96.0,13.8,33.37
69,70,2020-01-02 11:30:00,37.0,동,82.0,13.8,33.41
70,71,2020-01-02 12:00:00,32.7,동북동,65.0,13.8,33.42
