,Unnamed: 0,Observation time,Surface flow velocity,Surface direction,Surface frankincense,Water temperature,Salinity
0,0,2020-01-01 00:30:00,24.4,동남동,116.0,11.26,25.31
1,1,2020-01-01 01:00:00,44.4,동남동,102.0,11.04,25.43
2,2,2020-01-01 01:30:00,56.3,동,98.0,9.78,24.72
3,3,2020-01-01 02:00:00,81.2,동남동,102.0,9.7,24.41
4,4,2020-01-01 02:30:00,87.4,동,101.0,9.81,24.91
5,5,2020-01-01 03:00:00,71.1,동,100.0,9.74,24.98
6,6,2020-01-01 03:30:00,66.2,동,99.0,9.67,25.05
7,7,2020-01-01 04:00:00,54.6,동남동,104.0,9.64,25.19
8,8,2020-01-01 04:30:00,41.7,동,99.0,9.61,25.47
9,9,2020-01-01 05:00:00,26.9,동남동,124.0,9.58,25.58
10,10,2020-01-01 05:30:00,19.5,남남서,214.0,9.67,25.59
11,11,2020-01-01 06:00:00,48.8,서북서,300.0,10.63,25.38
12,12,2020-01-01 06:30:00,50.2,서,278.0,10.68,25.21
13,13,2020-01-01 07:00:00,76.7,서북서,287.0,10.62,24.82
14,14,2020-01-01 07:30:00,77.2,서북서,292.0,10.7,24.85
15,15,2020-01-01 08:00:00,63.3,북서,312.0,10.38,24.97
16,16,2020-01-01 08:30:00,69.6,서북서,300.0,10.61,24.9
17,17,2020-01-01 09:00:00,73.4,서북서,302.0,10.45,24.89
18,18,2020-01-01 09:30:00,58.4,서북서,291.0,10.8,24.87
19,19,2020-01-01 10:00:00,51.3,서북서,294.0,10.71,24.94
20,20,2020-01-01 10:30:00,37.2,서북서,298.0,10.93,25.18
21,21,2020-01-01 11:00:00,28.7,서,278.0,10.89,25.2
22,22,2020-01-01 11:30:00,12.1,서,280.0,10.46,25.36
23,23,2020-01-01 12:00:00,11.9,남,181.0,10.76,25.39
24,24,2020-01-01 12:30:00,16.1,남동,138.0,10.98,25.38
25,25,2020-01-01 13:00:00,29.4,동,100.0,10.87,25.38
26,26,2020-01-01 13:30:00,43.3,동,93.0,9.93,25.48
27,27,2020-01-01 14:00:00,55.0,동남동,103.0,9.7,25.21
28,28,2020-01-01 14:30:00,67.2,동,97.0,9.66,24.97
29,29,2020-01-01 15:00:00,73.9,동,100.0,9.59,24.85
30,30,2020-01-01 15:30:00,74.4,동,99.0,9.63,24.88
31,31,2020-01-01 16:00:00,62.4,동,101.0,9.66,24.94
32,32,2020-01-01 16:30:00,48.3,동,92.0,9.66,25.28
33,33,2020-01-01 17:00:00,42.1,동,91.0,9.66,25.46
34,34,2020-01-01 17:30:00,10.6,동남동,106.0,9.97,25.43
35,35,2020-01-01 18:00:00,12.8,남남서,205.0,9.66,25.46
36,36,2020-01-01 18:30:00,40.8,서북서,296.0,10.68,25.44
37,37,2020-01-01 19:00:00,52.4,서북서,288.0,10.73,25.05
38,38,2020-01-01 19:30:00,68.8,서북서,285.0,10.78,24.92
39,39,2020-01-01 20:00:00,68.1,서북서,300.0,10.55,24.51
40,40,2020-01-01 20:30:00,66.3,서북서,301.0,10.3,24.82
41,41,2020-01-01 21:00:00,57.4,서북서,303.0,10.24,24.79
42,42,2020-01-01 21:30:00,61.9,서북서,296.0,10.6,24.76
43,43,2020-01-01 22:00:00,66.4,서북서,296.0,10.62,24.73
44,44,2020-01-01 22:30:00,66.3,서북서,290.0,10.73,24.7
45,45,2020-01-01 23:00:00,56.3,서북서,298.0,10.91,24.62
46,46,2020-01-01 23:30:00,55.9,서북서,293.0,10.81,25.62
47,47,2020-01-02 00:00:00,37.6,서북서,300.0,10.85,25.33
48,48,2020-01-02 00:30:00,22.9,서북서,293.0,10.85,25.26
49,49,2020-01-02 01:00:00,6.9,서남서,249.0,10.81,25.27
50,50,2020-01-02 01:30:00,21.4,동남동,106.0,11.01,25.32
51,51,2020-01-02 02:00:00,41.1,동,95.0,10.65,25.45
52,52,2020-01-02 02:30:00,51.1,동남동,104.0,9.84,25.19
53,53,2020-01-02 03:00:00,59.5,동,99.0,9.66,24.97
54,54,2020-01-02 03:30:00,58.1,동남동,103.0,9.49,25.04
55,55,2020-01-02 04:00:00,55.4,동,99.0,9.51,25.03
56,56,2020-01-02 04:30:00,51.2,동,90.0,9.54,25.07
57,57,2020-01-02 05:00:00,39.5,동남동,107.0,9.63,25.32
58,58,2020-01-02 05:30:00,19.0,남동,129.0,9.6,25.39
59,59,2020-01-02 06:00:00,19.5,남서,236.0,9.51,25.4
60,60,2020-01-02 06:30:00,16.2,북북서,341.0,9.52,25.43
61,61,2020-01-02 07:00:00,47.9,서북서,297.0,10.62,25.12
62,62,2020-01-02 07:30:00,53.5,서북서,283.0,10.61,24.94
63,63,2020-01-02 08:00:00,66.6,서북서,285.0,10.67,24.75
64,64,2020-01-02 08:30:00,62.7,서북서,286.0,10.54,24.89
65,65,2020-01-02 09:00:00,60.1,북서,304.0,10.2,24.82
66,66,2020-01-02 09:30:00,48.2,서북서,300.0,10.63,24.79
67,67,2020-01-02 10:00:00,68.4,서북서,287.0,10.32,24.69
68,68,2020-01-02 10:30:00,59.4,서북서,290.0,10.62,24.69
69,69,2020-01-02 11:00:00,47.6,서북서,289.0,10.83,24.83
70,70,2020-01-02 11:30:00,28.8,북북서,345.0,10.35,25.24
71,71,2020-01-02 12:00:00,19.7,서북서,301.0,10.48,25.2
72,72,2020-01-02 12:30:00,12.8,서,274.0,10.56,25.24
73,73,2020-01-02 13:00:00,14.7,남,187.0,10.84,25.23
74,74,2020-01-02 13:30:00,19.1,남동,146.0,11.16,25.22
75,75,2020-01-02 14:00:00,14.5,동남동,106.0,10.96,25.19
76,76,2020-01-02 14:30:00,47.7,동,99.0,10.11,25.02
77,77,2020-01-02 15:00:00,53.5,동남동,102.0,9.74,25.17
78,78,2020-01-02 15:30:00,69.4,동,99.0,9.63,24.41
79,79,2020-01-02 16:00:00,69.5,동남동,102.0,9.59,24.62
80,80,2020-01-02 16:30:00,66.5,동,100.0,9.57,24.79
81,81,2020-01-02 17:00:00,57.7,동,95.0,9.56,24.74
82,82,2020-01-02 17:30:00,40.0,동,97.0,9.7,25.42
83,83,2020-01-02 18:00:00,23.9,동남동,108.0,9.66,25.37
84,84,2020-01-02 18:30:00,8.2,동남동,107.0,10.1,25.32
85,85,2020-01-02 19:00:00,6.9,서,279.0,10.1,25.28
86,86,2020-01-02 19:30:00,39.6,북서,310.0,10.96,25.22
87,87,2020-01-02 20:00:00,47.5,서북서,299.0,10.94,25.15
88,88,2020-01-02 20:30:00,57.2,서북서,298.0,10.99,25.14
89,89,2020-01-02 21:00:00,59.5,서북서,302.0,10.53,25.16
90,90,2020-01-02 21:30:00,52.3,서북서,303.0,10.31,25.11
91,91,2020-01-02 22:00:00,46.2,북서,307.0,10.47,25.19
92,92,2020-01-02 22:30:00,46.7,북서,307.0,10.45,25.09
93,93,2020-01-02 23:00:00,43.2,북서,305.0,10.9,25.0
94,94,2020-01-02 23:30:00,63.7,서북서,297.0,10.86,25.18
95,95,2020-01-03 00:00:00,60.1,서북서,300.0,10.91,25.15
96,96,2020-01-03 00:30:00,48.0,북서,305.0,10.8,25.08
97,97,2020-01-03 01:00:00,31.0,북서,320.0,10.57,25.09
98,98,2020-01-03 01:30:00,19.0,북서,317.0,10.51,24.95
99,99,2020-01-03 02:00:00,5.8,남,182.0,10.55,25.2
100,100,2020-01-03 02:30:00,23.1,동남동,113.0,10.88,25.17
101,101,2020-01-03 03:00:00,45.2,동,97.0,10.47,24.29
102,102,2020-01-03 03:30:00,49.7,동,97.0,9.81,24.63
103,103,2020-01-03 04:00:00,52.2,동,100.0,9.8,24.56
104,104,2020-01-03 04:30:00,62.0,동,98.0,9.66,24.59
105,105,2020-01-03 05:00:00,58.0,동,97.0,9.62,24.62
106,106,2020-01-03 05:30:00,46.1,동,89.0,9.67,24.95
107,107,2020-01-03 06:00:00,36.2,동,87.0,9.9,25.19
108,108,2020-01-03 06:30:00,2.7,동,85.0,10.09,25.14
109,109,2020-01-03 07:00:00,2.2,남동,138.0,10.09,25.14
110,110,2020-01-03 07:30:00,33.8,북서,310.0,10.28,25.38
111,111,2020-01-03 08:00:00,40.4,서북서,303.0,10.84,25.13
112,112,2020-01-03 08:30:00,45.8,서북서,284.0,10.77,24.67
113,113,2020-01-03 09:00:00,49.3,서북서,290.0,10.59,24.69
114,114,2020-01-03 09:30:00,51.3,서북서,291.0,10.22,24.53
115,115,2020-01-03 10:00:00,54.3,서북서,300.0,10.39,24.53
116,116,2020-01-03 10:30:00,51.7,서북서,289.0,10.64,24.56
117,117,2020-01-03 11:00:00,57.8,서북서,296.0,10.81,24.44
118,118,2020-01-03 11:30:00,57.5,서북서,289.0,10.9,24.45
119,119,2020-01-03 12:00:00,49.7,서북서,303.0,10.62,24.53
120,120,2020-01-03 12:30:00,35.4,서북서,302.0,10.64,24.83
121,121,2020-01-03 13:00:00,18.3,서,281.0,10.55,24.97
122,122,2020-01-03 13:30:00,9.5,남서,225.0,10.58,24.96
123,123,2020-01-03 14:00:00,18.2,남,176.0,10.89,24.95
124,124,2020-01-03 14:30:00,18.8,남동,132.0,10.85,24.97
125,125,2020-01-03 15:00:00,26.4,동,101.0,10.65,25.02
126,126,2020-01-03 15:30:00,44.6,동,96.0,10.14,25.1
127,127,2020-01-03 16:00:00,50.1,동,96.0,9.94,25.02
128,128,2020-01-03 16:30:00,56.0,동,100.0,9.77,24.33
129,129,2020-01-03 17:00:00,58.7,동,99.0,9.73,24.32
130,130,2020-01-03 17:30:00,51.6,동,101.0,9.72,24.78
131,131,2020-01-03 18:00:00,40.5,동남동,101.0,9.69,25.04
132,132,2020-01-03 18:30:00,30.0,동남동,103.0,9.96,25.17
