,Unnamed: 0,Observation time,Surface flow velocity,Surface direction,Surface frankincense,Water temperature,Salinity
7803,8373,2020-06-23 11:00:00,2.2,서,281.0,21.1,30.57
7804,8374,2020-06-23 11:30:00,4.5,북북동,33.0,21.1,30.56
7805,8375,2020-06-23 12:00:00,10.8,동북동,76.0,21.3,30.58
7806,8376,2020-06-23 12:30:00,10.9,서남서,251.0,21.5,30.49
7807,8377,2020-06-23 13:00:00,22.8,서,263.0,21.4,30.57
7808,8378,2020-06-23 13:30:00,6.1,북북동,25.0,21.7,30.41
7809,8379,2020-06-23 14:00:00,6.9,북동,47.0,21.8,30.52
7810,8380,2020-06-23 14:30:00,4.9,동남동,103.0,21.7,30.48
7811,8381,2020-06-23 15:00:00,8.3,동남동,117.0,21.7,30.48
7812,8382,2020-06-23 15:30:00,25.7,동,88.0,21.9,30.59
7813,8383,2020-06-23 16:00:00,26.8,동북동,60.0,22.1,30.49
7814,8384,2020-06-23 16:30:00,25.0,동,82.0,21.9,30.62
7815,8385,2020-06-23 17:00:00,19.1,동북동,66.0,21.9,30.6
7816,8386,2020-06-23 17:30:00,2.4,북북서,344.0,22.1,30.59
7817,8387,2020-06-23 18:00:00,8.0,북서,324.0,22.0,30.6
7818,8388,2020-06-23 18:30:00,5.1,북동,51.0,22.0,30.61
7819,8389,2020-06-23 19:00:00,7.5,북북서,348.0,22.1,30.51
7820,8390,2020-06-23 19:30:00,6.8,북북서,336.0,22.0,30.6
7821,8391,2020-06-23 20:00:00,5.0,서,281.0,21.9,30.59
7822,8392,2020-06-23 20:30:00,7.7,서북서,291.0,21.8,30.62
7823,8393,2020-06-23 21:00:00,17.3,북서,313.0,21.7,30.63
7824,8394,2020-06-23 21:30:00,5.9,북북서,328.0,21.6,30.6
7825,8395,2020-06-23 22:00:00,4.6,북북동,26.0,21.6,30.55
7826,8396,2020-06-23 22:30:00,3.4,남동,146.0,21.5,30.54
7827,8397,2020-06-23 23:00:00,10.0,남동,124.0,21.5,30.51
7828,8398,2020-06-23 23:30:00,16.4,동남동,117.0,21.4,30.52
7829,8399,2020-06-24 00:00:00,20.3,동,89.0,21.5,30.56
7830,8400,2020-06-24 00:30:00,20.1,동,81.0,21.6,30.5
7831,8401,2020-06-24 01:00:00,31.0,동,84.0,21.5,30.48
7832,8402,2020-06-24 01:30:00,29.2,동,81.0,21.7,30.52
7833,8403,2020-06-24 02:00:00,33.2,동,96.0,21.7,30.56
7834,8404,2020-06-24 02:30:00,32.3,동,92.0,21.9,30.59
7835,8405,2020-06-24 03:00:00,37.2,동,87.0,21.7,30.59
7836,8406,2020-06-24 03:30:00,32.6,동,98.0,21.8,30.59
7837,8407,2020-06-24 04:00:00,40.8,동,81.0,21.8,30.5
7838,8408,2020-06-24 04:30:00,35.1,동,80.0,21.8,30.42
7839,8409,2020-06-24 05:00:00,39.9,동,84.0,21.7,30.42
7840,8410,2020-06-24 05:30:00,38.7,동,84.0,21.5,30.44
7841,8411,2020-06-24 06:00:00,24.7,동,89.0,21.4,30.47
7842,8412,2020-06-24 06:30:00,15.8,동,92.0,21.3,30.56
7843,8413,2020-06-24 07:00:00,15.0,동,82.0,21.3,30.54
7844,8414,2020-06-24 07:30:00,9.4,동,88.0,21.3,30.51
7845,8415,2020-06-24 08:00:00,5.3,동남동,117.0,21.4,30.36
7846,8416,2020-06-24 08:30:00,2.8,북동,42.0,21.4,30.36
7847,8417,2020-06-24 09:00:00,8.5,동북동,59.0,21.4,30.5
7848,8418,2020-06-24 09:30:00,4.4,동북동,78.0,21.6,30.47
7849,8419,2020-06-24 10:00:00,9.8,북북동,30.0,21.8,30.42
7850,8420,2020-06-24 10:30:00,2.5,북북서,334.0,21.8,30.48
7851,8421,2020-06-24 11:00:00,3.4,북북동,16.0,21.8,30.49
7852,8422,2020-06-24 11:30:00,2.2,북,5.0,21.7,30.53
7853,8423,2020-06-24 12:00:00,17.0,동,79.0,21.8,30.52
7854,8424,2020-06-24 12:30:00,14.4,동,95.0,21.8,30.49
7855,8425,2020-06-24 13:00:00,21.0,동남동,106.0,21.7,30.48
7856,8426,2020-06-24 13:30:00,18.1,동남동,107.0,21.7,30.56
7857,8427,2020-06-24 14:00:00,19.4,동남동,104.0,21.6,30.5
7858,8428,2020-06-24 14:30:00,41.0,동남동,120.0,21.5,30.49
7859,8429,2020-06-24 15:00:00,21.1,동남동,119.0,21.5,30.51
7860,8430,2020-06-24 15:30:00,24.8,남동,128.0,21.5,30.47
7861,8431,2020-06-24 16:00:00,26.4,남동,135.0,21.8,30.44
7862,8432,2020-06-24 16:30:00,29.2,동남동,120.0,22.0,30.28
7863,8433,2020-06-24 17:00:00,32.7,동남동,107.0,21.9,30.31
7864,8434,2020-06-24 17:30:00,22.0,동남동,103.0,21.8,30.22
7865,8435,2020-06-24 18:00:00,15.8,동남동,110.0,21.7,30.11
7866,8436,2020-06-24 18:30:00,7.6,동,101.0,21.6,30.05
7867,8437,2020-06-24 19:00:00,7.7,남남동,153.0,21.5,30.15
7868,8438,2020-06-24 19:30:00,7.1,남남서,206.0,21.5,30.17
7869,8439,2020-06-24 20:00:00,11.5,서,275.0,21.5,30.09
7870,8440,2020-06-24 20:30:00,17.6,서남서,254.0,21.4,30.06
7871,8441,2020-06-24 21:00:00,15.7,서,262.0,21.4,29.99
7872,8442,2020-06-24 21:30:00,15.0,서북서,302.0,21.4,29.97
7873,8443,2020-06-24 22:00:00,14.2,북서,317.0,21.3,29.91
7874,8444,2020-06-24 22:30:00,19.6,북,0.0,21.3,29.96
7875,8445,2020-06-24 23:00:00,20.5,북,9.0,21.4,29.94
7876,8446,2020-06-24 23:30:00,24.5,북동,43.0,21.3,29.97
7877,8447,2020-06-25 00:00:00,35.0,동북동,69.0,21.3,29.96
7878,8448,2020-06-25 00:30:00,35.5,동,81.0,21.4,30.06
7879,8449,2020-06-25 01:00:00,54.6,동,91.0,21.3,29.97
7880,8450,2020-06-25 01:30:00,54.5,동남동,103.0,21.4,29.9
7881,8451,2020-06-25 02:00:00,59.6,동남동,110.0,21.4,29.97
7882,8452,2020-06-25 02:30:00,64.0,동남동,115.0,21.4,30.03
7883,8453,2020-06-25 03:00:00,69.0,동남동,116.0,21.3,30.01
7884,8454,2020-06-25 03:30:00,73.5,동남동,114.0,21.1,29.97
7885,8455,2020-06-25 04:00:00,74.3,동남동,119.0,21.0,29.93
7886,8456,2020-06-25 04:30:00,75.4,동남동,121.0,21.0,29.91
7887,8457,2020-06-25 05:00:00,68.2,남동,125.0,21.0,29.84
7888,8458,2020-06-25 05:30:00,62.5,남동,126.0,21.0,29.82
7889,8459,2020-06-25 06:00:00,58.0,남동,137.0,20.9,29.89
7890,8460,2020-06-25 06:30:00,47.1,남동,136.0,21.0,29.87
7891,8461,2020-06-25 07:00:00,39.5,남동,146.0,21.1,29.86
7892,8462,2020-06-25 07:30:00,41.0,남동,138.0,21.1,29.86
7893,8463,2020-06-25 08:00:00,32.5,남동,142.0,21.1,29.83
7894,8464,2020-06-25 08:30:00,29.5,남동,141.0,21.0,29.89
7895,8465,2020-06-25 09:00:00,21.2,남남동,157.0,21.1,29.79
7896,8466,2020-06-25 09:30:00,20.8,남동,132.0,21.1,29.75
7897,8467,2020-06-25 10:00:00,13.8,남남동,155.0,21.2,29.72
